id_municipio,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
1505635,2020,274686816,11386626,26330019,151863075,13854738,338553,63727076
1505650,2020,309018317,11377097,297641221,118346395,9140049,46291374,123863402
1505700,2020,24685146,9466836,237384625,61992032,5570901,44286291,125535401
1505809,2020,880348197,20261558,860086639,419253045,32210428,107781474,300841693
1505908,2020,348459103,13025218,335433885,74289449,11155097,57683187,192306152
1506005,2020,342530715,7300122,335230594,132875415,9961432,46338904,146054843
1506104,2020,295647835,58486684,23716115,4194444,142347301,36071011,54548394
1506112,2020,111201741,3427428,107774313,30150557,3001851,18070832,56551073
1506138,2020,2028781514,290342364,173843915,153365226,279186784,932815112,373072029
1506161,2020,57142959,757083,495721289,16721581,111673823,130012852,86818804
1506187,2020,628597163,46518864,582078299,120457019,41449185,188760238,231411858
1506195,2020,4156007,27907115,387693585,80530384,32664358,86648758,187850085
1506203,2020,568925442,55772812,51315263,18023641,76342349,250884848,167901793
1506302,2020,193499702,7770475,185729228,29084091,8005289,45450918,103188929
1506351,2020,218707792,19591947,199115845,8342197,67459075,3684145,86473123
1506401,2020,8161661,141072,80205889,2976523,1427507,8419441,40593711
1506500,2020,807618574,92158555,715460019,102111226,6344376,271466569,278438463
1506559,2020,188634254,11295376,177338879,34411547,5755081,46893551,902787
1506583,2020,735494888,24215607,711279281,226840969,289379227,99365098,95693987
1506609,2020,307896858,24363781,283533078,62915619,26369359,93455182,100792918
1506708,2020,1113882993,139263864,974619129,247749642,175587209,281994426,269287851
1506807,2020,5501389172,635167348,4866221824,353122159,592395217,2621769793,1298934654
1506906,2020,50994315,116704,49827275,9909686,1765364,7284027,30868199
1507003,2020,432119657,27865119,404254538,148688575,42662729,73713824,139189411
1507102,2020,157768939,4934059,152834879,39341311,5245898,28614668,79633002
1507151,2020,302974284,19520707,283453577,75462956,15322365,80755253,111913002
1507201,2020,372003463,8468658,363534806,157138233,11483371,49867551,14504565
1507300,2020,1577607248,86156599,1491450648,601909935,170378931,249361539,469800242
1507409,2020,241412268,11981352,229430916,100464472,10715999,47563969,70686478
1507458,2020,599505405,83683625,51582178,130672483,133704257,131871155,119573885
1507466,2020,52373436,1454194,50919242,15313001,1620041,6305335,27680865
1507474,2020,180042773,7642244,172400528,26049092,9154712,32475589,104721136
1507508,2020,163405229,6675404,156729825,52492082,9304267,20735157,74198319
1507607,2020,722327391,44459597,677867795,220678468,46325252,162581913,248282162
1507706,2020,228370699,5885885,222484813,65856226,4807509,31351078,120470001
1507755,2020,114253396,7524835,106728561,43726942,6545755,22000853,34455011
1507805,2020,199269956,6998795,192271161,84580253,7810463,34051161,65829284
1507904,2020,217311603,9014444,208297159,42435868,7370564,50950102,107540625
1507953,2020,1078408828,114400309,964008519,140189615,138388047,280748172,404682686
1507961,2020,77116908,1994468,7512244,8141507,2637398,14084512,50259023
1507979,2020,43319249,11543339,421649151,19343465,243009136,68477124,90819427
1508001,2020,8152321,77301824,737930276,126640809,78689903,23179384,300805724
1508035,2020,295647613,7986384,287661229,83479303,14383078,4122816,148570688
1508050,2020,276380289,19932128,25644816,9616494,10835456,6536614,84081625
1508084,2020,861822647,123743407,73807924,126577678,141555524,297397823,172548215
1508100,2020,4568225601,119283521,444894208,55951783,3293809661,523120224,576060413
1508126,2020,185731339,47272463,1810040927,1263406833,128354456,190419659,227859978
1508159,2020,717056149,40090871,676965278,27957385,34645239,169046741,193699448
1508209,2020,418915031,25080182,393834849,75238604,16040277,112852987,18970298
1508308,2020,619546663,17016585,602530078,220803251,23608822,85142367,272975639
